# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
fa xia 	罰下	c=1 d=1 t=15511
fa xian 	發現	c=108 d=1 t=350269
fa xian ge 	發現個	c=1 d=1 t=93534
fa xian jie kou 	發現接口	c=1 d=1 t=162917
fa xian le 	發現了	c=3 d=1 t=327476
fa xiao xi 	發消息	c=2 d=1 t=237026
fa xie 	發泄	c=2 d=1 t=214206
fa xin 	發信	c=3 d=0.1 t=309466
fa xin a 	發信啊	c=3 d=1 t=318362
fa xing 	發行	c=3 d=1.86525 t=327834
fa xing 	髮型	c=2 d=1 t=264003
fa yan 	發炎	c=1 d=1 t=73444
fa yan 	發言	c=7 d=1 t=295638
fa yi ge 	發一個	c=2 d=1 t=188633
fa yi xia 	發一下	c=1 d=1 t=294276
fa yin 	發音	c=1 d=1 t=44829
fa ying 	發硬	c=1 d=1 t=62738
fa yong 	乏用	c=1 d=1 t=176990
fa you jian 	發郵件	c=14 d=1 t=351605
fa yu yin 	發語音	c=1 d=1 t=95505
fa zai 	發在	c=5 d=1 t=265105
fa zhan 	發展	c=33 d=1 t=347035
fa zhan fang xiang 	發展方向	c=2 d=1 t=28145
fa zhan qian li 	發展潛力	c=1 d=1 t=6373
fa zhan qu shi 	發展趨勢	c=1 d=1 t=25571
fa zhan yong hu 	發展用戶	c=1 d=1 t=35609
fa zhen 	發疹	c=1 d=1 t=60335
fa zheng 	發證	c=2 d=1 t=292341
fa zou 	發走	c=1 d=1 t=275315
fa zuo 	發作	c=1 d=1 t=162785
fan 	凡	c=2 d=1 t=281661
fan 	反	c=20 d=1 t=351734
fan 	煩	c=19 d=1 t=254003
fan 	翻	c=4 d=1.00607 t=334591
fan 	范	c=9 d=1.99501 t=198601
fan 	返	c=1 d=1 t=128206
fan 	飯	c=47 d=1.00318 t=348478
fan bei 	翻倍	c=1 d=1 t=254354
fan bian 	翻遍	c=1 d=1 t=30625
fan cai 	飯菜	c=1 d=1 t=6062
fan chang 	反常	c=1 d=1 t=156146
fan che 	翻車	c=1 d=1 t=40333
fan chi 	飯吃	c=1 d=1 t=216219
fan chou 	範疇	c=2 d=1 t=108402
fan cuo wu 	犯錯誤	c=1 d=1 t=77066
fan dian 	返點	c=3 d=1 t=211798
fan dui 	反對	c=3 d=1 t=212599
fan er 	反而	c=5 d=1 t=346730
fan fa 	犯法	c=1 d=1 t=75496
fan fan 	翻翻	c=1 d=1 t=285336
fan fang 	反方	c=1 d=1 t=25366
fan fu 	反覆	c=2 d=1 t=138948
fan gan 	反感	c=2 d=1.2865 t=227920
fan gan quan dei na ge 	飯甘泉得那個	c=1 d=1 t=157032
fan gong 	返工	c=4 d=1 t=294104
fan gu 	反骨	c=1 d=1 t=6883
fan guan 	反觀	c=1 d=1 t=297546
fan guan 	飯館	c=2 d=1 t=115438
fan guo lai 	反過來	c=2 d=1 t=290932
fan he 	飯盒	c=2 d=1.00389 t=105553
fan hua 	反話	c=2 d=1 t=156163
fan huan 	返還	c=1 d=1 t=166366
fan hui 	返回	c=48 d=1.97617 t=337087
fan hui de 	返回的	c=1 d=1 t=146435
fan hui yi ge 	返回一個	c=1 d=1 t=40241
fan hui zhi 	返回值	c=1 d=1 t=119534
fan jiu zhang 	翻舊賬	c=1 d=1 t=275232
fan ju 	飯局	c=1 d=1 t=290939
fan kang 	反抗	c=1 d=1 t=342111
fan kui 	反饋	c=140 d=1.00566 t=351260
fan kui dao 	反饋到	c=1 d=1 t=231367
fan kui guo 	反饋過	c=1 d=1 t=241555
fan kui zai 	反饋在	c=1 d=1 t=9901
fan kun 	犯困	c=10 d=1 t=298177
fan le 	反了	c=3 d=1 t=332687
fan le 	煩了	c=4 d=1 t=164667
fan le 	犯了	c=1 d=1 t=175008
fan le 	翻了	c=2 d=1 t=334610
fan mian 	反面	c=5 d=1.97045 t=60114
fan nan 	犯難	c=1 d=1 t=4350
fan nao 	煩惱	c=1 d=1 t=324044
fan pai 	反派	c=2 d=1.99501 t=195667
fan pai 	翻拍	c=1 d=1 t=35550
fan qiang 	翻牆	c=8 d=1 t=319793
fan qie 	番茄	c=2 d=1.99005 t=14699
fan qing 	煩請	c=2 d=1 t=128244
fan rong 	繁榮	c=13 d=1.99005 t=106492
fan shen 	翻身	c=2 d=1 t=340781
fan sheng 	繁盛	c=1 d=1 t=281890
fan shi 	凡是	c=1 d=1 t=221287
fan si 	反思	c=9 d=1.9802 t=277586
fan si le 	煩死了	c=1 d=1 t=87922
fan song 	翻鬆	c=1 d=1 t=42437
fan suo 	繁瑣	c=2 d=1 t=115876
fan tan 	反彈	c=2 d=1.94176 t=178874
fan ti 	繁體	c=7 d=1 t=216730
fan wei 	範圍	c=100 d=1 t=337171
fan wei guan li 	範圍管理	c=1 d=1 t=131146
fan wei ji zhun 	範圍基準	c=1 d=1 t=149888
fan wei nei 	範圍內	c=2 d=1 t=243769
fan xian 	范縣	c=2 d=1 t=323541
fan xiang 	反響	c=3 d=1 t=324709
fan xin 	煩心	c=1 d=1 t=69243
fan xin 	翻新	c=1 d=1 t=69242
fan xiu 	返修	c=1 d=1 t=18694
fan yi 	翻譯	c=19 d=1.80654 t=274645
fan yi fan yi 	翻譯翻譯	c=1 d=1 t=80531
fan yi guan 	翻譯官	c=1 d=1 t=81644
fan yi xia 	翻譯下	c=2 d=1 t=274646
fan yin 	翻印	c=1 d=1 t=156998
fan ying 	反應	c=27 d=1 t=348401
fan ying 	反映	c=3 d=1.28365 t=131498
fan ying dui 	反應堆	c=1 d=1 t=7648
fan ying xia 	反應下	c=1 d=1 t=33166
fan zai 	凡在	c=1 d=1 t=184487
fan zao 	煩躁	c=1 d=1 t=182719
fan zhan 	反戰	c=1 d=1 t=147333
fan zheng 	反正	c=88 d=1.00002 t=348403
fan zheng wo men 	反正我們	c=1 d=1 t=48699
fan zheng wo shi 	反正我是	c=1 d=1 t=303054
fan zheng ye 	反正也	c=1 d=1 t=212297
fan zhi 	繁殖	c=2 d=1 t=350323
fang 	坊	c=1 d=1 t=40891
fang 	放	c=104 d=1.00033 t=351934
fang 	方	c=64 d=1.00041 t=349497
fang 	芳	c=4 d=1 t=182894
fang 	防	c=11 d=1 t=344091
fang a ji 	放啊及	c=1 d=1 t=150272
fang ai 	妨礙	c=0 d=0.1 t=288953
fang ai gei 	妨礙給	c=1 d=1 t=288954
fang an 	方案	c=248 d=2.24891 t=351466
fang an he 	方案和	c=1 d=1 t=247870
fang an shi 	方案是	c=1 d=1 t=164174
fang bi 	防弊	c=0 d=0.1 t=173741
fang bi a 	防弊啊	c=1 d=1 t=173742
fang bian 	方便	c=80 d=1 t=320782
fang bian hua 	方便話	c=1 d=1 t=172129
fang bian mian 	方便麪	c=1 d=1 t=139574
fang cai 	方纔	c=1 d=1 t=122670
fang chan zheng 	房產證	c=1 d=1 t=153559
fang cheng 	芳城	c=1 d=1.07531 t=107242
fang cheng yuan 	芳城園	c=1 d=1 t=107243
fang chu qu 	放出去	c=1 d=1 t=210186
fang cuo 	放錯	c=1 d=1 t=33808
fang da 	放大	c=2 d=1 t=196915
fang da dian 	放大點	c=1 d=1 t=312156
fang da jing 	放大鏡	c=2 d=1 t=63561
fang dai 	房貸	c=1 d=1 t=343775
fang dan 	防彈	c=3 d=1 t=200918
fang dao 	放到	c=22 d=1 t=342557
fang dao xian shang 	放到線上	c=1 d=1 t=174824
fang de 	方的	c=2 d=1 t=269229
fang dian 	放電	c=1 d=1 t=40643
fang dian 	放點	c=8 d=1 t=206499
fang fa 	方法	c=51 d=1.00023 t=344687
fang fan 	防範	c=8 d=3.56407 t=339891
fang fang 	放放	c=6 d=1 t=266365
fang fang 	芳芳	c=1 d=1 t=124461
fang fu 	彷彿	c=3 d=1 t=339519
fang ge 	放個	c=3 d=1 t=303521
fang guo 	放過	c=1 d=0.1 t=229981
fang guo le 	放過了	c=1 d=1 t=229982
fang hu 	防護	c=6 d=1.956 t=339710
fang huo 	防火	c=5 d=1 t=339688
fang huo qian 	防火錢	c=1 d=1 t=17468
fang huo qiang 	防火牆	c=4 d=1 t=336278
fang jia 	房價	c=4 d=1 t=298443
fang jia 	放假	c=30 d=1 t=347667
fang jia ai 	放假哎	c=2 d=1 t=227567
fang jian 	房間	c=10 d=1 t=253266
fang jian kong 	放監控	c=1 d=1 t=322654
fang jin qu 	放進去	c=3 d=1 t=311427
fang jing dian 	防靜電	c=1 d=1 t=186292
fang ke 	訪客	c=1 d=0.1 t=123720
fang kuai 	方塊	c=2 d=1 t=194735
fang le 	放了	c=8 d=1 t=332545
fang man 	放慢	c=1 d=1 t=213849
fang mi a 	放米啊	c=1 d=1 t=86661
fang mian 	方面	c=50 d=1 t=338363
fang mian bian 	方面邊	c=1 d=1 t=235519
fang min 	放民	c=1 d=1 t=36959
fang ni 	方妮	c=3 d=1 t=289743
fang pao 	放炮	c=2 d=1.96079 t=205044
fang qi 	放棄	c=20 d=1 t=352039
fang quan 	放權	c=1 d=1 t=277538
fang shang 	放上	c=1 d=1 t=273279
fang shang qu 	放上去	c=5 d=1 t=227077
fang shao 	放哨	c=1 d=1 t=51016
fang shen 	防身	c=1 d=1 t=328543
fang shi 	方式	c=139 d=1.1938 t=344096
fang shou 	防守	c=1 d=1 t=54073
fang shou ji 	放手機	c=1 d=1 t=109699
fang shui 	防水	c=2 d=1 t=343105
fang si 	放肆	c=1 d=1 t=26842
fang song 	放鬆	c=4 d=1.98511 t=334091
fang song xia 	放鬆下	c=2 d=1 t=100532
fang tan 	訪談	c=6 d=1 t=141349
fang wen 	訪問	c=71 d=1.87982 t=343891
fang wen bu liao 	訪問不了	c=1 d=1 t=218802
fang wen dao 	訪問到	c=1 d=1 t=155014
fang wen le 	訪問了	c=1 d=1 t=317885
fang wen liang 	訪問量	c=2 d=1 t=232191
fang wen ma 	訪問嗎	c=1 d=1 t=7783
fang wo 	房臥	c=1 d=1 t=99376
fang xia 	放下	c=2 d=1.99005 t=175855
fang xian 	防線	c=1 d=1 t=269217
fang xiang 	方向	c=37 d=1 t=321058
fang xin 	放心	c=32 d=1 t=349353
fang xing 	方形	c=1 d=1 t=192408
fang yan 	放眼	c=1 d=1 t=299990
fang yi 	防疫	c=1 d=1 t=48776
fang yuan 	房源	c=1 d=1 t=9855
fang yuan 	方圓	c=6 d=1 t=186899
fang zai 	放在	c=154 d=1 t=349166
fang zai le 	放在了	c=2 d=1 t=112367
fang zai yi qi 	放在一起	c=2 d=1 t=140711
fang zao 	仿造	c=2 d=1 t=199823
fang zhe 	放着	c=11 d=1 t=340806
fang zhi 	防止	c=2 d=1 t=236556
fang zhong jian 	放中間	c=1 d=1 t=312157
fang zhuang 	方莊	c=23 d=1 t=346877
fang zi 	房子	c=8 d=1 t=197992
fang zu 	房租	c=2 d=1 t=333480
fei 	斐	c=3 d=1 t=344475
fei 	肥	c=1 d=1 t=50823
fei 	菲	c=18 d=1.96079 t=321187
fei 	裴	c=4 d=1 t=344474
fei 	費	c=35 d=1 t=349918
fei 	非	c=15 d=1 t=347923
fei 	飛	c=28 d=1 t=346070
fei ben 	飛奔	c=1 d=1 t=163358
fei biao 	飛鏢	c=1 d=1 t=70763
fei bie 	飛別	c=1 d=1 t=77946
fei bu 	肺部	c=1 d=1 t=256796
fei chang 	肥腸	c=2 d=1.97531 t=329795
fei chang 	非常	c=6 d=1 t=329789
fei de 	飛得	c=1 d=1 t=10410
fei dei 	非得	c=10 d=1.86071 t=173573
fei dian 	費電	c=2 d=1.64404 t=120021
fei dian 	非典	c=1 d=1 t=29033
fei er 	菲爾	c=0 d=0.1 t=208151
fei fa 	非法	c=1 d=1 t=36492
fei ge 	飛歌	c=119 d=1.00061 t=345691
fei ge 	飛鴿	c=1 d=1 t=337045
fei ge de 	飛歌的	c=1 d=1 t=301006
fei ge shuo 	飛歌說	c=1 d=1 t=33815
fei gong neng 	非功能	c=1 d=1 t=131837
fei ji 	斐濟	c=1 d=1 t=110179
fei ji 	飛機	c=29 d=1.99005 t=327386
fei ji piao 	飛機票	c=1 d=1 t=249040
fei ji shang 	飛機上	c=4 d=1.07151 t=9046
fei jie 	費解	c=2 d=1 t=263299
fei jin 	費勁	c=22 d=1 t=340112
fei le 	廢了	c=6 d=1 t=175770
fei le 	肥了	c=1 d=1 t=96807
fei le 	飛了	c=1 d=1 t=13115
fei li pu 	飛利浦	c=2 d=1 t=29038
fei liu 	飛流	c=1 d=1 t=37058
fei lv 	費率	c=5 d=1 t=317027
fei niu dun 	非牛頓	c=1 d=1 t=6258
fei qian 	費錢	c=1 d=1 t=28810
fei qin wang shi 	廢寢忘食	c=1 d=1 t=315134
fei qu 	非去	c=1 d=1 t=94265
fei rang 	非讓	c=3 d=1 t=323549
fei rang wo 	非讓我	c=2 d=1.94176 t=214198
fei shu 	飛書	c=3 d=1 t=336448
fei shui 	廢水	c=1 d=1 t=295477
fei wo 	肥沃	c=2 d=1.99501 t=212710
fei xiao 	非笑	c=2 d=1 t=145786
fei xin 	費心	c=1 d=1 t=143147
fei xing 	飛行	c=1 d=1 t=270838
fei yao 	非要	c=6 d=1 t=351642
fei ying 	飛鷹	c=1 d=1 t=267855
fei yong 	費用	c=129 d=1 t=350975
fei yong zhong 	費用中	c=1 d=1 t=149073
fei yu 	鯡魚	c=1 d=1 t=11677
fei zheng shi 	非正式	c=1 d=1 t=132989
fei zhi lou 	廢紙簍	c=2 d=1 t=119711
fei zhou 	非洲	c=4 d=1.99005 t=152070
fei zi 	妃子	c=12 d=2.88121 t=344978
fei zi xiao 	妃子校	c=160 d=1.24171 t=348705
fei zi xiao ao 	妃子校奧	c=2 d=1 t=313647
fei zi xiao ye shi 	妃子校也是	c=1 d=1 t=280140
fen 	份	c=29 d=1 t=345800
fen 	分	c=115 d=1 t=348734
fen 	粉	c=17 d=1 t=329986
fen bian 	分辨	c=2 d=1 t=295042
fen bian bu chu li 	分辨不處理	c=1 d=1 t=146358
fen bian chu 	分辨出	c=1 d=1 t=137937
fen bian lu 	分辨路	c=2 d=1 t=103399
fen bian lv 	分辨率	c=4 d=1.09094 t=162575
fen bian lv he 	分辨率和	c=1 d=1 t=162557
fen bie 	分別	c=31 d=1 t=344908
fen bie cong 	分別從	c=1 d=1 t=167936
fen bie shi 	分別是	c=2 d=1 t=324363
fen bu 	分佈	c=4 d=1.9715 t=151233
fen chai 	分拆	c=0 d=0.1 t=33614
fen chai cheng 	分拆成	c=1 d=1 t=33615
fen cheng 	分成	c=23 d=1 t=281174
fen ci 	粉刺	c=1 d=1 t=188778
fen dan 	分擔	c=3 d=0.1 t=295414
fen dan dian 	分擔點	c=1 d=1 t=295415
fen dian 	分店	c=24 d=2.55653 t=318863
fen fa 	分發	c=4 d=1.90937 t=314137
fen fen 	分分	c=1 d=1 t=54128
fen fu 	吩咐	c=1 d=1 t=286135
fen ge 	分割	c=1 d=1 t=117249
fen gei 	分給	c=3 d=1 t=212337
fen gong 	分工	c=20 d=1.01195 t=315797
fen gong si 	分公司	c=16 d=1 t=248006
fen gong xia 	分工下	c=1 d=1 t=4623
fen guan 	分管	c=1 d=1 t=245466
fen hang 	分行	c=2 d=1 t=296186
fen hong 	分紅	c=111 d=1 t=330254
fen hong bi li 	分紅比例	c=2 d=1 t=284642
fen hong ding dan 	分紅訂單	c=1 d=1 t=275443
fen hong gao 	分紅高	c=1 d=1 t=255249
fen hong le 	分紅了	c=1 d=1 t=310759
fen hong li mian 	分紅裏面	c=1 d=1 t=275529
fen ji 	分級	c=4 d=1 t=281441
fen jia 	分家	c=4 d=1 t=348738
fen jie 	分解	c=25 d=1 t=284659
fen jie duan 	分階段	c=1 d=1 t=130475
fen kai 	分開	c=21 d=0.1 t=329869
fen kai de 	分開的	c=1 d=1 t=329870
fen le 	分了	c=5 d=1 t=280776
fen lei 	分類	c=18 d=1 t=337193
fen lei e 	分類餓	c=1 d=1 t=229389
fen li 	分離	c=3 d=1 t=286390
fen lie 	分裂	c=1 d=1 t=111476
fen liu 	分流	c=2 d=1.00664 t=305461
fen ming 	分明	c=1 d=1 t=104321
fen mu 	分母	c=4 d=1 t=90099
fen pei 	分配	c=16 d=0.1 t=283969
fen pei xia 	分配下	c=1 d=1 t=283970
fen pi 	分批	c=2 d=1.00003 t=290541
fen pie 	分撇	c=1 d=1 t=128341
fen qi 	分期	c=21 d=1 t=314013
fen qi 	分歧	c=2 d=1 t=327788
fen qi kuan xiang 	分期款項	c=1 d=1 t=293231
fen qian 	分錢	c=2 d=1 t=248365
fen qu 	分區	c=1 d=1 t=290439
fen san 	分散	c=1 d=1 t=96180
fen se 	粉色	c=3 d=1 t=204527
fen sheng 	分省	c=1 d=1 t=194470
fen shou 	分手	c=5 d=1 t=302707
fen shu 	分數	c=17 d=2.64606 t=341836
fen si 	粉絲	c=5 d=1 t=218891
fen si tang 	粉絲唐	c=1 d=1 t=21205
fen tan 	分攤	c=1 d=1 t=162397
fen tiao 	粉條	c=15 d=1 t=330914
fen tou 	分頭	c=2 d=1 t=344741
fen wei 	分爲	c=17 d=1.65051 t=327326
fen wei 	氛圍	c=2 d=1 t=267866
fen xi 	分析	c=123 d=1.70488 t=342080
fen xi fen xi 	分析分析	c=1 d=1 t=335955
fen xia 	分下	c=1 d=1 t=43058
fen xiang 	分享	c=104 d=1 t=332841
fen xiang dou shi 	分享都是	c=1 d=1 t=98097
fen xiang gei 	分享給	c=2 d=1 t=278812
fen xiang le 	分享了	c=2 d=1 t=35847
fen xiang ma 	分享嗎	c=1 d=1 t=32523
fen xiang zhong 	分享中	c=3 d=1 t=35947
fen xiao 	分銷	c=12 d=1 t=319583
fen ye 	分頁	c=2 d=1 t=142103
fen yong 	奮勇	c=1 d=1 t=126462
fen zhan 	奮戰	c=0 d=0.1 t=12894
fen zhan dao 	奮戰到	c=1 d=1 t=12895
fen zhang 	分賬	c=5 d=1 t=246850
fen zheng 	紛爭	c=2 d=1 t=104410
fen zhi 	分值	c=1 d=1 t=239747
fen zhi 	分支	c=9 d=1 t=344656
fen zhi shang 	分支上	c=1 d=1 t=256397
fen zhong 	分鐘	c=36 d=1.36604 t=344590
fen zhong ba 	分鐘吧	c=1 d=1 t=57352
fen zi 	分子	c=1 d=1 t=101873
fen zong 	分總	c=1 d=1 t=179770
fen zu 	分組	c=5 d=1.97531 t=309700
feng 	封	c=24 d=1 t=349359
feng 	峯	c=114 d=1 t=292763
feng 	豐	c=3 d=1.89137 t=253128
feng 	風	c=42 d=1.00091 t=348154
feng 	馮	c=2 d=1 t=298498
feng 	鳳	c=1 d=1 t=12052
feng bao 	風暴	c=2 d=1 t=223199
feng chao 	蜂巢	c=1 d=1 t=111158
feng chui 	風吹	c=3 d=1 t=295540
feng ci 	諷刺	c=2 d=1 t=209118
feng da 	風大	c=2 d=1 t=255763
feng feng 	峯峯	c=121 d=1 t=319540
feng feng huo huo 	风风火火	c=1 d=1 t=334684
feng fu 	豐富	c=16 d=1 t=316681
feng ge 	風格	c=12 d=1.00031 t=348522
feng hao 	封號	c=4 d=1 t=323370
feng huang 	鳳凰	c=5 d=1 t=349510
feng huang wang 	鳳凰網	c=1 d=1 t=223929
feng jing 	風景	c=1 d=1 t=129274
feng kou 	風口	c=1 d=1 t=308928
feng kuang 	瘋狂	c=2 d=1 t=256859
feng le 	封了	c=3 d=1 t=215849
feng mi 	蜂蜜	c=1 d=1 t=65708
feng mi shui 	蜂蜜睡	c=1 d=1 t=62205
feng shan 	風扇	c=5 d=1 t=324150
feng sheng 	豐盛	c=1 d=1 t=194471
feng sheng 	風聲	c=2 d=1 t=288509
feng shi 	風溼	c=1 d=1 t=338407
feng shui 	風水	c=4 d=1 t=337102
feng tai qu 	豐臺區	c=3 d=1 t=113740
feng wei 	風味	c=1 d=1 t=277342
feng xian 	風險	c=123 d=1.45521 t=339845
feng xian dian 	風險點	c=2 d=1.00018 t=104649
feng xiang 	風向	c=12 d=1 t=322821
feng xin 	封信	c=1 d=0.1 t=222707
feng xin a 	封信啊	c=1 d=1 t=222708
feng yin 	封印	c=1 d=1 t=156988
feng zhao 	鳳爪	c=1 d=1 t=165021
feng zheng 	風箏	c=1 d=1 t=289140
feng zhuang 	封裝	c=3 d=1 t=290468
fo 	佛	c=1 d=1 t=261371
fo shan 	佛山	c=6 d=1 t=348450
fo shang 	佛上	c=2 d=1.91393 t=256466
fou 	否	c=17 d=1.02625 t=332177
fou jue 	否決	c=2 d=1 t=194128
fou ze 	否則	c=9 d=1.65051 t=321438
fu 	付	c=8 d=1 t=347266
fu 	副	c=4 d=1.97531 t=306852
fu 	夫	c=5 d=1 t=254047
fu 	富	c=1 d=1 t=45990
fu 	拂	c=6 d=1.00091 t=348153
fu 	敷	c=3 d=1 t=289146
fu 	覆	c=14 d=1 t=321811
fu 	負	c=1 d=1 t=62807
fu 	賦	c=1 d=1 t=10255
fu 	阜	c=1 d=1 t=56398
fu ben 	副本	c=10 d=1.0008 t=201928
fu bi 	伏筆	c=1 d=1 t=209352
fu cha 	複查	c=5 d=1 t=311319
fu chi 	扶持	c=2 d=1 t=293224
fu chu 	付出	c=2 d=1 t=294949
fu chu lai 	孵出來	c=2 d=1.26714 t=295235
fu dan 	孵蛋	c=5 d=2.49615 t=295249
fu dan 	負擔	c=6 d=1.98511 t=222602
fu dao 	輔導	c=5 d=1 t=338249
fu dian shu 	浮點數	c=1 d=1 t=313212
fu dong 	浮動	c=1 d=1 t=284557
fu du 	復讀	c=1 d=1 t=330238
fu er dai 	富二代	c=1 d=1 t=163453
fu er mo si 	福爾摩斯	c=1 d=1 t=76177
fu fa 	復發	c=2 d=1 t=332645
fu fei 	付費	c=43 d=1 t=349942
fu fei ban ben 	付費版本	c=1 d=1 t=100588
fu fei ne 	付費呢	c=1 d=1 t=23885
fu fen 	福分	c=0 d=0.1 t=329680
fu gai 	覆蓋	c=9 d=1.00013 t=323336
fu gai lv 	覆蓋率	c=1 d=1 t=102882
fu gei 	付給	c=2 d=1 t=298754
fu gou 	覆購	c=3 d=1 t=185853
fu gui 	富貴	c=1 d=1 t=311597
fu hao 	符號	c=1 d=1 t=310370
fu he 	符合	c=14 d=1 t=343599
fu hua 	孵化	c=2 d=1.01777 t=300694
fu hui 	赴會	c=1 d=1 t=254313
fu huo 	復活	c=2 d=1.00076 t=64869
fu ji 	腹肌	c=1 d=1 t=57600
fu jia sai 	附加賽	c=1 d=1 t=256022
fu jian 	福建	c=2 d=1 t=293121
fu jian 	複檢	c=1 d=1 t=170228
fu jian 	附件	c=115 d=1.00017 t=347197
fu jian shi 	附件是	c=10 d=1 t=228659
fu jian yi 	附件一	c=1 d=1 t=244166
fu jian zhong 	附件中	c=1 d=1 t=55460
fu jin 	附近	c=12 d=1 t=348609
fu jin a 	附近啊	c=1 d=1 t=292930
fu jin tui 	附近推	c=31 d=1 t=313720
fu ka 	副卡	c=1 d=1 t=306906
fu ke 	婦科	c=2 d=1 t=243712
fu ke 	復刻	c=2 d=1 t=296289
fu kua 	浮誇	c=0 d=0.1 t=150665
fu kua bu neng 	浮誇不能	c=1 d=1 t=150666
fu kuai 	府快	c=2 d=1 t=307793
fu kuan 	付款	c=215 d=1.08594 t=351862
fu kuan dan 	付款單	c=1 d=1 t=121090
fu kuan gei 	付款給	c=1 d=1 t=238083
fu kuan shen qing 	付款申請	c=1 d=1 t=326896
fu kuan shi jian 	付款時間	c=1 d=1 t=61885
fu kuan zhong 	付款中	c=1 d=1 t=73063
fu le 	付了	c=15 d=1.97531 t=329237
fu li 	富力	c=1 d=1 t=287578
fu li 	福利	c=7 d=1 t=315086
fu li fei 	福利費	c=1 d=1 t=216644
fu mian 	負面	c=1 d=1 t=175213
fu mu 	父母	c=2 d=0.1 t=41593
fu mu ai qing 	父母愛情	c=1 d=1 t=41594
fu neng 	賦能	c=4 d=1.95123 t=335076
fu ou 	負隅	c=0 d=0.1 t=45663
fu pan 	覆盤	c=1 d=0.510656 t=100573
fu ping 	浮萍	c=3 d=1 t=343091
fu po 	富婆	c=1 d=1 t=36895
fu qi 	服氣	c=1 d=1 t=243131
fu qian 	付錢	c=3 d=1.00022 t=270923
fu qin jie 	父親節	c=2 d=1 t=274261
fu ru 	腐乳	c=1 d=1 t=40092
fu shang 	敷上	c=1 d=1 t=99297
fu shang 	附上	c=2 d=1 t=242927
fu she 	輻射	c=3 d=2.61071 t=206766
fu shen 	複審	c=26 d=1.65267 t=328801
fu shi 	服飾	c=1 d=1 t=94057
fu shi 	複試	c=5 d=1 t=255282
fu shi kang 	富士康	c=1 d=1 t=215601
fu shu 	附屬	c=1 d=1 t=290353
fu shui 	浮水	c=2 d=1.02294 t=301444
fu su 	復甦	c=2 d=1 t=310743
fu te 	福特	c=1 d=1 t=2449
fu wo cheng 	俯臥撐	c=2 d=1.0367 t=199191
fu wu 	服務	c=302 d=1.05398 t=348713
fu wu ceng 	服務層	c=4 d=2.52061 t=19959
fu wu de 	服務的	c=5 d=1 t=316495
fu wu duan 	服務端	c=10 d=1 t=66581
fu wu fei 	服務費	c=77 d=1 t=349962
fu wu fei yong 	服務費用	c=1 d=1 t=293071
fu wu hao 	服務號	c=1 d=1 t=340845
fu wu he 	服務和	c=1 d=1 t=318873
fu wu lei 	服務類	c=1 d=1 t=34363
fu wu qi 	服務器	c=169 d=4.33191 t=352829
fu wu qi ceng 	服務器層	c=1 d=1 t=19692
fu wu qi de 	服務器的	c=2 d=1 t=127485
fu wu qi shang 	服務器上	c=3 d=1 t=77111
fu wu qi shang mian 	服務器上面	c=1 d=1 t=21857
fu wu qu 	服務區	c=1 d=1 t=40234
fu wu shang 	服務商	c=4 d=0.1 t=339914
fu wu xie yi 	服務協議	c=1 d=1 t=9997
fu wu xing 	服務型	c=1 d=1 t=87545
fu xi 	複習	c=4 d=1 t=345559
fu xi shi jian 	複習時間	c=1 d=1 t=168890
fu xi xia 	複習下	c=1 d=1 t=214437
fu xian 	復現	c=13 d=1 t=350278
fu xie 	腹瀉	c=1 d=1 t=298632
fu yan 	敷衍	c=2 d=1.00027 t=269473
fu yi 	複議	c=1 d=1 t=211137
fu yi 	輔以	c=1 d=1 t=195964
fu yin 	複印	c=2 d=1 t=345085
fu yin jian 	複印件	c=15 d=1 t=326026
fu yong 	復用	c=6 d=1.89583 t=322026
fu yu 	富裕	c=2 d=1 t=347598
fu yu 	賦予	c=5 d=1 t=347590
fu yuan 	富源	c=1 d=1 t=115741
fu yue 	斧鉞	c=1 d=1 t=306451
fu za 	複雜	c=65 d=1 t=343321
fu za le 	複雜了	c=2 d=1 t=218146
fu za ma 	複雜嗎	c=1 d=1 t=304611
fu za wen ti 	複雜問題	c=2 d=1.98511 t=87481
fu za yi dian 	複雜一點	c=1 d=1 t=321854
fu zai 	負載	c=2 d=1 t=19941
fu zai jun heng 	負載均衡	c=1 d=1 t=16905
fu ze 	負責	c=115 d=1.40657 t=351838
fu ze de 	負責的	c=1 d=1 t=66759
fu ze ma 	負責嗎	c=2 d=1 t=125105
fu ze ren 	負責人	c=64 d=1 t=347804
fu ze ren 	負責任	c=2 d=1 t=205104
fu ze shi 	負責是	c=1 d=1 t=142516
fu ze zhe bu fen 	負責這部分	c=1 d=1 t=66002
fu zhai 	負債	c=1 d=1 t=216653
fu zhe 	扶着	c=1 d=1 t=92674
fu zhi 	膚質	c=11 d=1 t=260855
fu zhi 	複製	c=13 d=1.93239 t=349123
fu zhou 	福州	c=3 d=1 t=198565
fu zhu 	輔助	c=8 d=1 t=338794
fu zhuang 	服裝	c=2 d=1 t=233896
fu zong 	副總	c=3 d=1.99501 t=189470
fu zong cai 	副總裁	c=1 d=1 t=216813
fu zuo 	輔佐	c=1 d=1 t=347480
